Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
2/18/21,UNLV,L,3,36,13,110,0.209,35,2,10,6,46,0,2,3,1,0,39
2/20/21,UNLV,L,4,47,28,168,0.113,41,10,5,5,80,1,8,1,5,2,62
2/26/21,at Wyoming,W,3,44,11,96,0.344,42,6,7,1,43,1,10,1,6,1,56
2/27/21,at Wyoming,L,4,53,28,159,0.157,48,7,6,4,69,6,6,1,9,1,69
3/12/21,at San Jose St.,W,3,49,8,120,0.342,42,2,5,9,39,1,4,1,3,1,54
3/13/21,at San Jose St.,L,5,50,20,155,0.194,48,4,6,7,63,2,8,4,6,2,60
3/20/21,Fresno St.,W,4,51,17,135,0.252,49,5,8,5,66,1,14,3,8,0,64
3/25/21,Boise St.,W,4,62,27,148,0.236,57,4,7,9,53,1,12,0,7,0,73
3/27/21,Utah St.,W,4,48,14,117,0.291,43,7,11,8,53,3,6,0,6,1,61
4/1/21,at New Mexico,W,3,44,15,105,0.276,36,7,6,1,47,1,8,1,5,3,56
4/3/21,at San Diego State,L,3,30,22,105,0.076,29,2,9,4,40,2,8,1,6,1,38
8/28/21,Northwestern,L,4,39,22,122,0.139,36,7,7,10,52,1,6,1,4,3,50
8/31/21,at Northern Colo.,L,5,60,28,159,0.201,56,6,7,4,67,1,22,1,12,0,78
9/3/21,at North Carolina,L,5,56,19,156,0.237,49,7,9,4,55,1,10,1,6,0,69
9/4/21,at NC State,W,4,51,20,158,0.196,49,6,10,4,80,4,8,0,8,0,65
9/10/21,SIUE,W,3,39,6,68,0.485,38,12,3,3,28,1,14,3,8,0,59
9/10/21,Oregon St.,W,5,52,25,152,0.178,46,10,10,7,63,2,14,1,9,0,71
9/11/21,UAB,W,4,56,17,120,0.325,51,11,5,4,41,3,18,2,12,0,79
9/16/21,at Colorado,L,4,51,30,155,0.135,49,4,8,2,59,1,8,1,5,1,60
9/18/21,Colorado,L,3,45,26,122,0.156,42,5,6,3,50,0,12,0,6,1,56
9/23/21,Boise St.,W,3,36,17,96,0.198,33,5,7,6,44,2,12,1,8,2,49
9/25/21,Utah St.,W,3,44,8,90,0.4,38,5,8,4,37,2,6,1,5,0,54
9/28/21,Wyoming,W,3,41,10,104,0.298,36,5,6,4,40,2,12,1,8,1,54
9/30/21,at Fresno State,L,4,42,27,113,0.133,39,7,6,11,45,2,6,1,5,0,54
10/7/21,at Nevada,W,3,40,18,111,0.198,37,5,6,2,51,5,14,0,12,0,57
10/9/21,at San Jose St.,W,4,53,16,140,0.264,47,5,10,5,52,4,6,1,7,1,65
10/14/21,New Mexico,W,3,41,16,95,0.263,38,7,9,1,39,2,16,0,10,0,58
10/16/21,Air Force,W,3,39,11,86,0.326,35,6,4,4,32,1,6,0,4,0,49
10/21/21,at San Diego State,W,5,62,16,149,0.309,56,9,16,2,55,2,16,3,10,2,81
10/23/21,UNLV,W,3,46,16,109,0.275,45,4,6,4,40,3,6,1,6,1,56
10/28/21,at Air Force,W,3,42,16,91,0.286,40,8,6,4,35,1,12,0,7,0,57
10/30/21,at New Mexico,L,4,48,24,149,0.161,43,1,16,2,46,1,8,1,5,1,54
11/4/21,Nevada,W,3,46,13,93,0.355,38,14,6,3,35,1,4,1,3,0,63
11/6/21,San Jose St.,W,3,50,9,108,0.38,44,8,7,0,41,1,10,1,6,0,64
11/9/21,at Wyoming,L,5,66,22,150,0.293,65,6,9,7,73,2,14,1,9,1,81
11/13/21,Fresno St.,W,3,42,15,115,0.235,41,4,5,7,49,0,14,2,7,0,53
11/18/21,at Utah St.,L,4,46,27,147,0.129,45,6,10,4,52,0,16,1,8,2,60
11/20/21,at Boise St.,W,4,56,18,121,0.314,55,8,8,8,52,2,12,3,8,2,72
11/25/21,at UNLV,L,5,54,22,150,0.213,47,9,10,7,44,6,2,2,7,0,70
12/2/21,Houston Baptist,W,3,39,14,99,0.253,35,8,8,2,36,0,8,2,4,0,51
12/3/21,UTEP,L,4,45,23,126,0.175,37,10,4,9,49,1,8,1,5,0,60
